name;desc;price
Смеситель для кухни однорычажный;Современный дизайн, надёжная конструкция.;2500
Душевая система с тропическим душем;Высокое качество исполнения, стильный дизайн.;15000
Унитаз-компакт.Классический дизайн, высокое качество керамики.;8000
Подвесной унитаз с инсталляцией;Элегантный дизайн, удобство использования.;30000
Раковина накладная на столешницу;Стильная и функциональная модель.;6000
Полотенцесушитель электрический;Стильный дизайн, высокая теплоотдача.;9000
Сифон для раковины;Простой монтаж, надёжность в эксплуатации.;70
Запорный клапан для смесителя;Прочность и долговечность, простота установки.;400
Гибкая подводка для воды;Гибкость и прочность, устойчивость к коррозии.;500
Держатель для туалетной бумаги;Надёжная фиксация, современный дизайн.;1000
Мыльница для ванной комнаты;Практичный аксессуар, легко моется.;450
Дозатор для жидкого мыла;Удобный и практичный аксессуар.;1200
Смеситель для ванной с длинным изливом;Современный дизайн, надёжная конструкция.;3000
Душевая система с тропическим душем и термостатом;Высокое качество исполнения, стильный дизайн.;25000
Унитаз-компакт с микролифтом сиденья;Классический дизайн, высокое качество керамики.;1000
Подвесной унитаз с инсталляцией и сиденьем с микролифтом;Элегантный дизайн, удобство использования.;40000
Раковина накладная на столешницу с пьедесталом;Стильная и функциональная модель.;8000
Полотенцесушитель водяной;Стильный дизайн, высокая теплоотдача.;7000
Сифон для раковины с переливом;Простой монтаж, надёжность в эксплуатации.;900
Запорный клапан для смесителя с керамической кран-буксой;Прочность и долговечность, простота установки.;600
Гибкая подводка для воды из нержавеющей стали;Гибкость и прочность, устойчивость к коррозии.;750
Держатель для туалетной бумаги с полочкой;Надёжная фиксация, современный дизайн.;1200
Мыльница для ванной комнаты с настенным креплением;Практичный аксессуар, легко моется.;550
Смеситель для ванной с коротким изливом;Современный дизайн, надёжная конструкция.;2500
Душевая система с тропическим душем и термостатом скрытого монтажа;Высокое качество исполнения, стильный дизайн.;30000
Унитаз-компакт с функцией биде;Классический дизайн, высокое качество керамики.;12000
Подвесной унитаз с инсталляцией и сиденьем с микролифтом и подогревом;Элегантный дизайн, удобство использования.;45000
Раковина накладная на столешницу с двумя чашами;Стильная и функциональная модель.;9000
Полотенцесушитель водяной с полкой;Стильный дизайн, высокая теплоотдача.;8000
Сифон для раковины с переливом и отводом для стиральной машины;Простой монтаж, надёжность в эксплуатации.;1000
Запорный клапан для смесителя с керамической кран-буксой и фильтром грубой очистки;Прочность и долговечность, простота установки.;700
Гибкая подводка для воды из нержавеющей стали с оплёткой из нейлона;Гибкость и прочность, устойчивость к коррозии.;600
Держатель для туалетной бумаги с полочкой и диспенсером для освежителя воздуха;Надёжная фиксация, современный дизайн.1500
ГидроСила;мощный насос для воды;7500
Термогейзер;водонагреватель для душа;5300
СмартФло;интеллектуальный смеситель;4600
КаскадФон;широкий душевой лейка;2900
ТрубоМастер;гибкий шланг для воды;1200
АкваСенс;датчик протечки воды;1800
ВанноСпа;гидромассажная система;12000
ТеплоПоток;радиатор для ванной;7500
ЭкоТап;экономичный кран;3400
ФильтраМикс;фильтр для питьевой воды;2300
КомпактФло;мини бойлер для кухни;5600
СтандартКран;классический смеситель;1500
ЭлеганцДуш;эстетичный душевой набор;8900
РетроТап;винтажный кран;4100
СуперДренаж;мощный дренажный насос;9200
АкваБарьер;защитная перегородка для душа;3200
ВихрьЛейка;многофункциональная лейка для душа;2000
УльтраФильтр;очиститель воды для дома;7400
ТермоКлапан;регулятор температуры воды;1700
ПотокПлюс;насос повышения давления;8700
СмартПанель;электронная панель управления душем;5800
КристалФло;смеситель с подсветкой;5200
ПрофиШланг;армированный шланг высокого давления;2900
ЭкоФло;аэратор для крана;1200
КомфортТерм;термостатический смеситель;6400
МикроФло;насадка-аэратор для экономии воды;950
ДушЭкспресс;компактный душевой комплект;3400
АртДеко;стильный смеситель для раковины;4700
ФорсПоток;циркуляционный насос для котла;8600
ПримаСмарт;сенсорный смеситель;7800
РетроДуш;винтажный душевой набор;8300
ТурбоСмеситель;смеситель с усиленной струей;4200
ТаймерФло;смеситель с таймером;5000
СейфВент;защитный клапан для бойлера;2100
МодернПоток;современный смеситель для кухни;6800
ЛюксФло;премиальный смеситель;9200
МиниКаскад;компактный водопад для ванной;5600
АкваГармония;музыкальная лейка для душа;4500
ЭкоДренаж;насос для чистой воды;5400
СенсФло;бесконтактный смеситель;8700
КомфортШланг;гибкий шланг для душа;1800
ДельтаФло;смеситель с термостатом;7200
ФлораДуш;лейка с функцией ароматерапии;3900
ТехноКран;технологичный кран с дисплеем;6800
СуперМикс;смеситель с несколькими режимами;5200
АкваФреш;фильтр-кувшин для воды;1600
МаксиФло;смеситель с удлиненным изливом;4700
НаноТап;компактный смеситель для умывальника;3500
АкваСейф;защитная система от протечек;8200
ЛюксДренаж;профессиональный дренажный насос;10400
